comp_name;pressure;temperature;flow_rate;flow_rate;flow_rate;temperature;temperature;temperature;status;status;status;status;status;filter_number;biomass_burning_aerosol_fraction;number of wavelengths;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;numflag
comp_name;pressure;temperature;flow_rate;flow_rate;flow_rate;temperature;temperature;temperature;status;status;status;status;status;filter_number;biomass_burning_aerosol_fraction;number of wavelengths;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;reference_beam_signal;sensing_beam_signal;sensing_beam_signal;equivalent_black_carbon;equivalent_black_carbon;equivalent_black_carbon;filter_loading_compensation_parameter;aerosol_absorption_coefficient;attenuation_coefficient;attenuation_coefficient;numflag
unit; hPa;K;l/min;l/min;l/min;K;K;K;no unit;no unit;no unit;no unit;no unit;no unit;%;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit;no unit;no unit;ug/m3;ug/m3;ug/m3;no unit;1/Mm;no unit;no unit;no unit
matrix;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;instrument;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol;aerosol
title;refpress;reftemp;flow1;flow2;flowC;Tcntrl;Tsupply;T_LED;STinst;STcnt;STdet;STled;STvalv;tpcnt;BB;NWv;ref_1;sens1_1;sens2_1;EBC1_1;EBC2_1;EBC_1;k_1;abs_1;att1_1;att2_1;ref_2;sens1_2;sens2_2;EBC1_2;EBC2_2;EBC_2;k_2;abs_2;att1_2;att2_2;ref_3;sens1_3;sens2_3;EBC1_3;EBC2_3;EBC_3;k_3;abs_3;att1_3;att2_3;ref_4;sens1_4;sens2_4;EBC1_4;EBC2_4;EBC_4;k_4;abs_4;att1_4;att2_4;ref_5;sens1_5;sens2_5;EBC1_5;EBC2_5;EBC_5;k_5;abs_5;att1_5;att2_5;ref_6;sens1_6;sens2_6;EBC1_6;EBC2_6;EBC_6;k_6;abs_6;att1_6;att2_6;ref_7;sens1_7;sens2_7;EBC1_7;EBC2_7;EBC_7;k_7;abs_7;att1_7;att2_7;numflag
limit of detection (ug/m3);;;;;;;;;;;;;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;;;;0.03;0.03;0.03;;;;;
Detection limit expl.;;;;;;;;;;;;;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;;;;Adapted from manufacturer specification;Adapted from manufacturer specification;Adapted from manufacturer specification;;;;;
Measurement uncertainty (%);;;;;;;;;;;;;;;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;;;;100;100;20;;20;;;
Mass absorption cross section (m2/g);;;;;;;;;;;;;;;;;;;;18.47;18.47;18.47;;;;;;;;14.54;14.54;14.54;;;;;;;;13.14;13.14;13.14;;;;;;;;11.58;11.58;11.58;;;;;;;;10.35;10.35;10.35;;;;;;;;7.77;7.77;7.77;;;;;;;;7.19;7.19;7.19;;;;;
Multi-scattering correction factor;;;;;;;;;;;;;;;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;;;;1.57;1.57;1.57;;4;;;
Exposed filter area (cm2);;;;;;;;;;;;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;;;;0.785;0.785;;;;;;
Characteristictype_1;Location;Location;Location;Location;Location;Location;Location;Location;Status type;Status type;Status type;Status type;Status type;None;None;None;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;Wavelength;
Value_1;instrument internal;instrument internal;filter spot 1;filter spot 2;total sample flow;control board;power supply board;LED board;overall instrument status;controller;detector;light source;valves;None;None;None;370 nm;370 nm;370 nm;370 nm;370 nm;370 nm;370 nm;370 nm;370 nm;370 nm;470 nm;470 nm;470 nm;470 nm;470 nm;470 nm;470 nm;470 nm;470 nm;470 nm;525 nm;525 nm;525 nm;525 nm;525 nm;525 nm;525 nm;525 nm;525 nm;525 nm;590 nm;590 nm;590 nm;590 nm;590 nm;590 nm;590 nm;590 nm;590 nm;590 nm;660 nm;660 nm;660 nm;660 nm;660 nm;660 nm;660 nm;660 nm;660 nm;660 nm;880 nm;880 nm;880 nm;880 nm;880 nm;880 nm;880 nm;880 nm;880 nm;880 nm;950 nm;950 nm;950 nm;950 nm;950 nm;950 nm;950 nm;950 nm;950 nm;950 nm;
instrumenttype;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;filter_absorption_photometer;
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87
